function_id,model,accuracy_score,context_coverage,length_tokens
1,GPT-4o,4.15,0.43,42.2
1,Claude3-Opus,4.91,0.65,41.2
1,Gemini1.5-Pro,4.55,0.6,36.9
2,GPT-4o,4.17,0.39,35.7
2,Claude3-Opus,4.4,0.48,31.8
2,Gemini1.5-Pro,3.26,0.33,42.4
3,GPT-4o,3.45,0.27,47.0
3,Claude3-Opus,4.21,0.68,33.7
3,Gemini1.5-Pro,3.27,0.5,32.0
4,GPT-4o,4.09,0.37,36.7
4,Claude3-Opus,4.06,0.86,42.6
4,Gemini1.5-Pro,2.97,0.6,31.5
5,GPT-4o,4.0,0.2,30.6
5,Claude3-Opus,4.38,0.74,43.8
5,Gemini1.5-Pro,3.53,0.43,29.7
6,GPT-4o,3.54,0.39,44.6
6,Claude3-Opus,4.44,0.49,44.7
6,Gemini1.5-Pro,3.37,0.38,44.5
7,GPT-4o,4.42,0.57,33.4
7,Claude3-Opus,4.18,0.7,48.8
7,Gemini1.5-Pro,3.31,0.45,32.3
8,GPT-4o,3.3,0.56,46.4
8,Claude3-Opus,4.27,0.77,45.0
8,Gemini1.5-Pro,3.21,0.53,51.1
9,GPT-4o,3.88,0.65,22.9
9,Claude3-Opus,4.63,0.68,40.8
9,Gemini1.5-Pro,3.66,0.18,38.6
10,GPT-4o,4.08,0.64,35.3
10,Claude3-Opus,3.98,0.62,48.5
10,Gemini1.5-Pro,3.8,0.4,43.8
11,GPT-4o,3.95,0.58,34.3
11,Claude3-Opus,4.17,0.63,33.5
11,Gemini1.5-Pro,3.78,0.52,40.2
12,GPT-4o,3.78,0.27,35.9
12,Claude3-Opus,4.16,0.59,41.7
12,Gemini1.5-Pro,3.84,0.76,41.4
13,GPT-4o,4.03,0.44,27.1
13,Claude3-Opus,4.29,0.68,58.2
13,Gemini1.5-Pro,3.48,0.53,40.0
14,GPT-4o,3.32,0.6,42.8
14,Claude3-Opus,4.62,0.58,51.5
14,Gemini1.5-Pro,2.76,0.57,55.8
15,GPT-4o,3.4,0.38,39.0
15,Claude3-Opus,4.1,0.51,43.1
15,Gemini1.5-Pro,2.96,0.55,33.7
16,GPT-4o,4.67,0.35,36.5
16,Claude3-Opus,4.63,0.55,44.1
16,Gemini1.5-Pro,4.38,0.24,41.5
17,GPT-4o,4.03,0.55,31.1
17,Claude3-Opus,3.77,0.72,44.6
17,Gemini1.5-Pro,3.75,0.53,35.4
18,GPT-4o,4.02,0.49,34.2
18,Claude3-Opus,5.0,0.72,35.2
18,Gemini1.5-Pro,3.99,0.33,45.8
19,GPT-4o,4.48,0.34,44.1
19,Claude3-Opus,4.47,0.75,54.6
19,Gemini1.5-Pro,3.45,0.37,33.9
20,GPT-4o,3.49,0.44,40.4
20,Claude3-Opus,4.41,0.75,42.8
20,Gemini1.5-Pro,4.47,0.44,59.5
